destination,avg_temp,hotel_price,unesco_sites,beach,hiking_score,museum_score,kid_friendly,luxury_hotels,label
Barcelona,15,57,4,0,3,2,0,0,Budget
Barcelona,29,89,6,0,0,1,0,0,Culture
Rome,28,353,0,0,10,8,1,1,Adventure
Rome,26,346,4,0,2,6,1,1,Luxury
Dubai,16,155,5,0,1,6,0,0,Culture
London,23,354,4,0,7,8,0,1,Luxury
Cancun,24,85,8,1,10,9,1,0,Culture
Cape Town,18,405,1,0,10,3,1,1,Adventure
Tokyo,19,96,6,1,7,10,1,0,Culture
Bali,23,226,3,1,10,10,0,0,Relaxation
Cape Town,32,132,8,0,2,7,1,0,Culture
Dubai,32,397,8,0,10,5,0,1,Culture
Rome,13,206,6,1,1,3,1,0,Culture
Rome,32,300,6,1,2,4,0,1,Culture
Rome,29,320,4,1,9,6,1,1,Relaxation
Rome,16,305,7,0,0,1,0,1,Culture
Barcelona,17,393,6,0,6,6,1,1,Culture
Sydney,20,328,0,0,10,8,1,1,Adventure
Athens,32,219,1,1,6,2,1,0,Relaxation
Paris,20,301,2,0,10,4,0,1,Adventure
Bali,23,127,8,0,9,5,1,0,Culture
Paris,15,230,4,0,0,3,0,0,Family
Tokyo,27,80,8,0,2,10,1,0,Culture
Sydney,17,180,8,1,3,8,0,0,Culture
New York,21,249,5,1,8,7,0,0,Culture
Rome,19,77,5,0,9,8,0,0,Culture
Cape Town,19,48,1,0,3,1,0,0,Budget
Singapore,22,81,8,0,4,10,1,0,Culture
Rome,29,112,7,0,7,6,0,0,Culture
Tokyo,15,382,6,1,6,6,1,1,Culture
Singapore,13,389,1,0,6,5,0,1,Luxury
Rome,18,142,8,1,2,6,0,0,Culture
Dubai,26,172,1,1,8,1,0,0,Relaxation
Barcelona,29,52,1,0,2,6,1,0,Budget
Kyoto,18,250,0,0,6,0,1,0,Family
Dubai,26,191,6,1,2,3,1,0,Culture
Rome,13,341,8,0,5,0,0,1,Culture
Cape Town,27,302,8,0,0,8,0,1,Culture
Singapore,17,80,1,0,6,1,0,0,Family
Cape Town,31,65,1,1,10,9,1,0,Relaxation
Cancun,20,149,5,0,4,6,0,0,Culture
Barcelona,32,198,7,1,1,0,1,0,Culture
Cape Town,30,96,1,0,8,4,0,0,Adventure
Cancun,23,80,3,1,4,2,1,0,Relaxation
Singapore,29,405,4,0,10,8,1,1,Adventure
Cancun,33,98,2,1,1,1,0,0,Relaxation
Dubai,21,354,3,1,3,10,1,1,Relaxation
